Date,Portfolio Value,Cash
2021-12-13,44944.15,0.0
2021-12-14,44745.06,0.0
2021-12-15,45228.65,0.0
2021-12-16,44994.63,0.0
2021-12-17,44598.08,0.0
2021-12-20,43696.14,0.0
2021-12-21,44918.79,0.0
2021-12-22,45322.0,0.0
2021-12-23,45680.67,0.0
2021-12-27,46423.62,0.0
2021-12-28,46381.02,0.0
2021-12-29,46502.46,0.0
2021-12-30,46419.81,0.0
2021-12-31,46446.66,0.0
2022-01-03,46874.51,0.0
2022-01-04,47228.25,0.0
2022-01-05,46076.0,0.0
2022-01-06,46305.83,0.0
2022-01-07,45777.45,0.0
2022-01-10,45609.51,0.0
2022-01-11,46069.66,0.0
2022-01-12,46240.02,0.0
2022-01-13,45547.46,0.0
2022-01-14,45198.62,0.0
2022-01-18,44417.96,0.0
2022-01-19,43877.27,0.0
2022-01-20,43116.79,0.0
2022-01-21,42251.82,0.0
2022-01-24,42840.11,0.0
2022-01-25,42452.34,0.0
2022-01-26,42252.56,0.0
2022-01-27,41869.19,0.0
2022-01-28,42679.92,0.0
2022-01-31,43526.28,0.0
2022-02-01,44115.58,0.0
2022-02-02,44584.14,0.0
2022-02-03,43905.34,0.0
2022-02-04,43770.29,0.0
2022-02-07,43756.41,0.0
2022-02-08,43867.73,0.0
2022-02-09,44720.92,0.0
2022-02-10,43879.65,0.0
2022-02-11,43337.2,0.0
2022-02-14,42786.23,0.0
2022-02-15,43391.93,0.0
2022-02-16,43499.28,0.0
2022-02-17,42861.18,0.0
2022-02-18,42589.48,0.0
2022-02-22,42080.76,0.0
2022-02-23,41384.67,0.0
2022-02-24,42281.14,0.0
2022-02-25,43274.15,0.0
2022-02-28,43382.28,0.0
2022-03-01,43139.14,0.0
2022-03-02,44364.4,0.0
2022-03-03,44511.36,0.0
2022-03-04,44618.88,0.0
2022-03-07,43783.82,0.0
2022-03-08,43251.8,0.0
2022-03-09,43742.97,0.0
2022-03-10,43812.3,0.0
2022-03-11,43240.92,0.0
2022-03-14,43153.95,0.0
2022-03-15,43581.99,0.0
2022-03-16,44074.53,0.0
2022-03-17,44824.31,0.0
2022-03-18,45061.11,0.0
2022-03-21,45168.06,0.0
2022-03-22,45348.54,0.0
2022-03-23,44979.16,0.0
2022-03-24,45468.82,0.0
2022-03-25,45887.92,0.0
2022-03-28,45841.32,0.0
2022-03-29,46343.62,0.0
2022-03-30,46129.97,0.0
2022-03-31,45540.34,0.0
2022-04-01,45768.31,0.0
2022-04-04,45759.02,0.0
2022-04-05,45061.74,0.0
2022-04-06,44970.25,0.0
2022-04-07,45194.79,0.0
2022-04-08,45311.21,0.0
2022-04-11,44704.73,0.0
2022-04-12,44548.81,0.0
2022-04-13,44993.87,0.0
2022-04-14,44571.29,0.0
2022-04-18,44663.97,0.0
2022-04-19,45378.18,0.0
2022-04-20,45817.37,0.0
2022-04-21,45109.5,0.0
2022-04-22,43956.55,0.0
2022-04-25,43750.62,0.0
2022-04-26,42721.75,0.0
2022-04-27,42854.86,0.0
2022-04-28,43635.72,0.0
2022-04-29,42271.84,0.0
2022-05-02,42265.32,0.0
2022-05-03,42680.4,0.0
2022-05-04,43937.07,0.0
2022-05-05,42533.31,0.0
2022-05-06,42475.71,0.0
2022-05-09,40386.88,0.0
2022-05-10,40382.2,0.0
2022-05-11,40017.7,0.0
2022-05-12,40151.82,0.0
2022-05-13,41260.94,0.0
2022-05-16,41440.81,0.0
2022-05-17,42150.06,0.0
2022-05-18,40524.4,0.0
2022-05-19,40735.29,0.0
2022-05-20,40585.52,0.0
2022-05-23,41207.64,0.0
2022-05-24,41014.46,0.0
2022-05-25,41502.82,0.0
2022-05-26,42249.74,0.0
2022-05-27,43646.2,0.0
2022-05-31,42997.45,0.0
2022-06-01,42958.52,0.0
2022-06-02,43563.34,0.0
2022-06-03,43033.51,0.0
2022-06-06,43165.26,0.0
2022-06-07,44051.37,0.0
2022-06-08,43399.11,0.0
2022-06-09,42177.37,0.0
2022-06-10,41359.31,0.0
2022-06-13,39513.06,0.0
2022-06-14,39099.93,0.0
2022-06-15,39262.15,0.0
2022-06-16,37864.57,0.0
2022-06-17,37710.25,0.0
2022-06-21,38871.95,0.0
2022-06-22,38715.54,0.0
2022-06-23,38855.57,0.0
2022-06-24,39464.01,0.0
2022-06-27,39841.78,0.0
2022-06-28,39539.64,0.0
2022-06-29,39359.11,0.0
2022-06-30,39255.97,0.0
2022-07-01,39727.05,0.0
2022-07-05,38755.18,0.0
2022-07-06,38870.17,0.0
2022-07-07,39529.11,0.0
2022-07-08,39432.27,0.0
2022-07-11,39325.16,0.0
2022-07-12,39044.74,0.0
2022-07-13,38938.85,0.0
2022-07-14,38595.41,0.0
2022-07-15,39276.62,0.0
2022-07-18,39173.71,0.0
2022-07-19,39945.51,0.0
2022-07-20,40034.82,0.0
2022-07-21,40332.45,0.0
2022-07-22,40173.55,0.0
2022-07-25,41129.6,0.0
2022-07-26,41099.62,0.0
2022-07-27,41488.52,0.0
2022-07-28,41979.96,0.0
2022-07-29,42533.69,0.0
2022-08-01,42458.65,0.0
2022-08-02,42281.07,0.0
2022-08-03,42269.06,0.0
2022-08-04,41926.55,0.0
2022-08-05,42099.74,0.0
2022-08-08,42254.3,0.0
2022-08-09,42460.75,0.0
2022-08-10,42899.23,0.0
2022-08-11,43421.82,0.0
2022-08-12,43960.31,0.0
2022-08-15,44031.31,0.0
2022-08-16,44261.7,0.0
2022-08-17,44206.57,0.0
2022-08-18,44685.08,0.0
2022-08-19,44357.66,0.0
2022-08-22,43715.08,0.0
2022-08-23,43836.34,0.0
2022-08-24,44245.92,0.0
2022-08-25,44869.88,0.0
2022-08-26,43838.03,0.0
2022-08-29,43864.67,0.0
2022-08-30,42895.26,0.0
2022-08-31,42772.85,0.0
2022-09-01,42552.89,0.0
2022-09-02,42655.72,0.0
2022-09-06,42422.14,0.0
2022-09-07,42923.29,0.0
2022-09-08,43279.35,0.0
2022-09-09,43961.66,0.0
2022-09-12,44235.96,0.0
2022-09-13,42776.45,0.0
2022-09-14,43142.79,0.0
2022-09-15,42741.99,0.0
2022-09-16,42254.35,0.0
2022-09-19,42583.46,0.0
2022-09-20,42167.42,0.0
2022-09-21,41415.24,0.0
2022-09-22,41171.81,0.0
2022-09-23,39864.69,0.0
2022-09-26,39094.04,0.0
2022-09-27,39349.09,0.0
2022-09-28,40297.58,0.0
2022-09-29,39580.12,0.0
2022-09-30,39359.86,0.0
2022-10-03,40505.46,0.0
2022-10-04,41708.01,0.0
2022-10-05,41604.93,0.0
2022-10-06,41092.55,0.0
2022-10-07,40345.29,0.0
2022-10-10,40241.85,0.0
2022-10-11,40469.02,0.0
2022-10-12,40000.7,0.0
2022-10-13,41177.82,0.0
2022-10-14,40217.93,0.0
2022-10-17,40971.72,0.0
2022-10-18,41491.5,0.0
2022-10-19,41477.25,0.0
2022-10-20,41267.05,0.0
2022-10-21,42563.32,0.0
2022-10-24,42897.45,0.0
2022-10-25,43155.12,0.0
2022-10-26,43358.46,0.0
2022-10-27,43500.86,0.0
2022-10-28,44336.15,0.0
2022-10-31,44451.9,0.0
2022-11-01,44852.63,0.0
2022-11-02,44470.74,0.0
2022-11-03,44710.65,0.0
2022-11-04,44937.32,0.0
2022-11-07,45258.62,0.0
2022-11-08,45577.43,0.0
2022-11-09,44639.79,0.0
2022-11-10,45806.47,0.0
2022-11-11,45493.78,0.0
2022-11-14,45181.66,0.0
2022-11-15,45671.06,0.0
2022-11-16,45468.09,0.0
2022-11-17,45591.09,0.0
2022-11-18,46208.6,0.0
2022-11-21,45992.03,0.0
2022-11-22,46960.51,0.0
2022-11-23,46879.49,0.0
2022-11-25,47095.86,0.0
