Date,Ticker,Action,Price,Shares,Portfolio Value
2022-10-03,GWW,BUY,489.85,0.18267,40505.46
2022-10-03,TRGP,BUY,57.69,0.76628,40505.46
2022-10-03,WMB,BUY,25.08,5.442095,40505.46
2022-10-03,SRE,BUY,68.95,0.685192,40505.46
2022-10-03,SO,BUY,60.88,2.329382,40505.46
2022-10-03,XEL,BUY,57.83,35.021782,40505.46
2022-10-03,VICI,BUY,24.78,1.585852,40505.46
2022-10-03,WEC,BUY,81.12,1.758102,40505.46
2022-10-03,SJM,BUY,121.97,16.604094,40505.46
2022-10-03,UNP,BUY,183.59,11.031583,40505.46
2022-11-01,UNP,SELL,180.43,11.031583,44852.63
2022-11-01,XEL,SELL,58.15,35.021782,44852.63
2022-11-01,SMCI,SELL,7.19,42.791776,44852.63
2022-11-01,VLO,SELL,116.01,0.876174,44852.63
2022-11-01,TPL,SELL,250.53,1.195497,44852.63
2022-11-01,WRB,SELL,45.84,1.181083,44852.63
2022-11-01,SLB,SELL,47.13,10.254959,44852.63
2022-11-01,STLD,SELL,91.71,3.87507,44852.63
2022-11-01,WMB,SELL,28.49,2.056608,44852.63
2022-11-01,GWW,SELL,572.85,0.21964,44852.63
2022-11-01,VRTX,BUY,314.2,0.32835,44852.63
2022-11-01,SRE,BUY,67.32,3.940736,44852.63
2022-11-01,TMUS,BUY,145.62,15.400104,44852.63
2022-11-01,TKO,BUY,73.96,0.432583,44852.63
2022-11-01,SJM,BUY,130.5,0.581383,44852.63
2022-11-01,SO,BUY,57.21,5.93157,44852.63
2022-11-01,TRGP,BUY,63.08,0.450831,44852.63
2022-11-01,UNH,BUY,509.63,0.18136,44852.63
2022-11-01,VST,BUY,21.66,3.937447,44852.63
2022-11-01,ULTA,BUY,422.0,5.314293,44852.63
2022-11-01,VICI,BUY,26.53,2.793927,44852.63
2022-11-01,WEC,BUY,80.55,2.874898,44852.63
2022-12-01,ULTA,SELL,472.53,5.314293,47341.73
2022-12-01,WEC,SELL,85.92,27.84126,47341.73
2022-12-01,TPL,SELL,273.64,0.301259,47341.73
2022-12-01,SMCI,SELL,9.05,50.55579,47341.73
2022-12-01,STLD,SELL,99.69,0.710153,47341.73
2022-12-01,TRGP,SELL,69.02,1.256409,47341.73
2022-12-01,SRE,SELL,74.33,1.467368,47341.73
2022-12-01,VST,SELL,23.24,1.649408,47341.73
2022-12-01,VLO,BUY,118.65,0.619167,47341.73
2022-12-01,SLB,BUY,47.32,2.437031,47341.73
